"dttma","po01","po02","po03","si01","si02","si03","it01","it02","it03","ie01","ac01","ac02","ac03","ac04","ai01","ai02","ai03","ai04","iv01","iv02","iv03","bd01","bd02","bd03","bd04","de01","de02"
"2025-05-08 12:21:28","7","7","5","5","6","5","3","3","4","2","5","2","3","1","5","3","6","4","6","4","7","no",18,3,2025-04-10,"women",54
"2025-05-05 09:25:35","6","5","5","6","7","5","6","7","6","5","6","4","4","6","6","7","4","5","3","3","4","yes",26,6,2024-08-27,"man",45
"2025-05-08 14:00:24","5","5","6","6","6","5","7","7","7","6","7","6","7","6","7","7",NA,"6","6","6","7","yes",14,3,2023-07-15,"women",35
"2025-05-07 13:43:15","6","6","3","3","4","4","6","2","4","5","7","4","6",NA,"5","3","6","7","5","5","6","yes",18,2,2025-04-19,"man",18
"2025-05-10 15:25:03","6","6","7","4","6","3","6","4","3","3","5","6","4","7","6","5","3","2","5","5","3","no",12,3,2024-03-19,"women",22
"2025-05-10 11:38:08","4","4","3","2","3","4","3","3","3","7","3","4","5","4","2","2","3","3","6","5","4","no",18,3,2023-12-07,"man",37
"2025-05-11 12:22:20","6","6","5","6","6","3","4","4","6","3","6","6","5","7","5","5","3","6","4","4","5","no",17,4,2024-12-24,"women",44
"2025-05-16 12:13:04","5","7","7","5","6","6","5","6","5","4","7","5","7","5","6","7","6","6","7","7","7","no",26,6,2024-03-13,"women",46
"2025-05-14 08:13:47","6","6","7","6","6","6","3",NA,"5","6","6","6","5","5","2","2","4","4","5","5","4","no",26,5,2024-06-25,"women",36
"2025-05-05 13:03:42","6","7","5","5","3","4","6","5","5","5","6","2","5","3","4","4","5",NA,"5","4","5","no",18,7,2024-08-01,"man",50
"2025-05-05 14:55:01","3","3","3","6","7","5","6","6","6","6","6","6","5",NA,"5","3","4","4","6","6","6","yes",4,1,2023-11-29,"women",39
"2025-05-06 15:15:29","1","3","4","3","4","4","7","7","7","7","3","1","3","4","6","4","6","5","5","7","4","yes",8,1,2023-08-02,"man",30
"2025-05-13 09:13:44","5","5","3","6","6","4","7","7","7","7","6","6","6","6","5","6","5","4","6","7","7","yes",10,3,2023-06-20,"women",35
"2025-05-10 08:56:25","7","7","7","5","6","6","4","7","6","6","5","5","4","7","6","5","5","4","7","5","6","no",15,3,2023-09-15,"women",41
"2025-05-14 08:39:22","6","5","6","6","6","5","4","4","6","5","2","5","5","3","5","4","4","6","3","6","4","no",19,6,2025-03-05,"man",31
"2025-05-18 15:14:33","7","7","7","6","4","4","4","6","4","5","6","3","6","6","5","6","6","3","5","6","5","yes",10,2,2025-03-20,"women",27
"2025-05-14 14:22:27","5","4","6","5","5","5","2","2","1","4","5","6","6","3","5","3","3","3","5","4","4","yes",22,6,2024-11-07,"women",38
"2025-05-13 09:57:43","4","6","5","5","4","5","5","4","6","5","2","4","2","3","6","5","3","5","6","6","4","yes",16,5,2024-08-25,"women",49
"2025-05-11 10:29:55","6","7","7","7","6","7","4","5","6","7","6","7","6","7","7","6","6","7","7","7","7","yes",13,4,2024-02-04,"man",42
"2025-05-14 13:08:49","2","5","5","6","5","6","6","7","5","3","4","5","4","5","7","6","6","6","5","6","6","yes",12,3,2024-10-18,"women",37
"2025-05-07 09:07:37","5","4","4","2","5","4","2","6","3","6","6","6","7","7","5","5","6","5","7","5","4","yes",12,3,2025-02-02,"women",59
"2025-05-06 15:28:59","7","7","7","6","7","7","6","7","7","7","6","6","7","6","6","7","7","6","6","7","5","yes",23,7,2025-01-10,"man",53
"2025-05-06 10:53:58","7","6","4",NA,"2","3","4","3","3","6","5","3","2","3","3","2","1","3","7","7","6","yes",20,4,2024-11-01,"women",40
"2025-05-08 15:22:21","3","5","6","7","2","3","4","7","5","4","7","3","3","4","6","6","7","4","4","4","5","no",12,3,2023-07-06,"man",54
"2025-05-08 17:43:33","6","5","5","5","7","7","6","5","6","5","6","6","5","6","4","3","2","5","7","6","6","yes",16,4,2024-01-27,"women",24
"2025-05-09 13:43:27","4","4","5","6","4","5","5","6","7","6","4","4","5","5",NA,"6","6","5","4","5","3","yes",19,4,2023-12-30,"women",35
"2025-05-17 14:02:12","5","6","5",NA,"5","3","2","4","6","4","2","4","3","6","4","4","7","5","3","3","3","yes",13,2,2025-02-12,"women",57
"2025-05-15 16:38:59","6","6","4","6","7","5","5","4","3","3","7","6","5","2","6","4","7","6","5","3","4","yes",18,3,2024-12-31,"women",46
"2025-05-09 08:54:39","6","5","5","5","3","4","6","6","6","5","4","5","3","5","4","4","5","4","5","4","4","yes",16,2,2024-04-25,"man",53
"2025-05-10 08:35:09","5","6","7","5","5","4","6","6","7","6","7","7","7","7","7","7","7","7","6","7","6","yes",18,5,2023-06-05,"man",28
"2025-05-05 16:30:20","7","5","7","4",NA,"6","6","7","4","4","4","6","5","3","5","7","4","5","5","4","6","no",16,6,2023-07-24,"women",39
"2025-05-15 13:45:19","7","7","4","7",NA,"7","5","7","7",NA,"5","4","6","5","4","3","6","5","6","7","6","yes",12,2,2024-06-09,"women",27
"2025-05-16 08:55:01","6","7","6","5","6","6","7","6","7","4","6","6","4","6","7","6","6","6","7","5","4","no",16,6,2024-06-06,"man",41
"2025-05-10 17:46:52","4","5","5","7","6","6","6","6","7","5","5","7","6","5","4","7","6","7","7","5","3","yes",14,3,2025-02-03,"man",26
"2025-05-12 10:59:35","7","5","5","5","5","5","7","5","6","3","6","4","4","1","4","5","5","6","7","7","7","yes",20,2,2024-04-21,"man",37
"2025-05-13 15:34:59","5","5","5",NA,"6","6","4","7","5","3","6","6","7","7","5","4","6","6","6","6","6","no",14,2,2024-11-26,"women",44
"2025-05-14 17:53:47","3","6","6","6","7",NA,"5","5","4","6","5","4","5","4","3","2","3","4","1","4","4","yes",13,4,2023-10-11,"man",43
"2025-05-17 12:36:04","6","7","6","7","7","7","6","6","7","5","5","6","5",NA,"6","6","7","7","6","4","6","yes",22,6,2023-05-19,"man",40
"2025-05-11 16:23:49","6","5","4","7","4","6","4","6","5","6","7","3","3","3",NA,"2","4","3","6","4","3","yes",17,4,2023-09-02,"man",33
"2025-05-13 09:20:35","7","7","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","7","yes",14,3,2024-08-04,"women",41
"2025-05-16 10:26:01","6","4","6","6","7","5","7","4","3","6","6","6","6","7","6","5","5","4","7","7","6","yes",12,4,2024-11-11,"man",43
"2025-05-10 16:53:56","5","4","6","7","6","6","3","6","3","7","6","6","7","5","5","6","6","7","7","7","7","no",14,4,2024-08-13,"women",44
"2025-05-10 10:35:45","7","7","7","7","4","5","7","4","6","7","6","6","5","3","6","4","6","6","7","7","7","yes",27,6,2024-02-05,"women",46
"2025-05-14 09:36:41","5","5","6","6","6","5","5","3","2","2","7","7","7","7","7","6",NA,"7","6","7","7","no",16,3,2023-06-17,"women",35
"2025-05-15 09:26:34","5","7","7","6","7","7","4","7","3","5","6","6","7","7","7","7","6","6","7","5","7","unsure",16,4,2024-06-15,"women",31
"2025-05-07 08:47:36","6","5","7","6","7","7","5","7","6","7","4","5","6","7","6","7","6","5","6","6","6","yes",17,5,2024-09-09,"women",47
"2025-05-11 11:00:08","4","4","4","3","5","6","4","5","4","6","6","5","6","7","5","6","6","4","4","7","4","yes",12,2,2024-03-18,NA,44
"2025-05-05 14:04:42","7","7","5","5","6","6","7","6","7","5","7","7","6","6","7","6","7","7","7","7","7",NA,16,3,2024-05-15,"women",29
"2025-05-07 17:20:29","7","7","7","4","7","7","5","6","5","5","6","5","5","5","6","6","6","6","6","5","3","yes",26,8,2023-06-22,"man",43
"2025-05-07 15:24:18","6","5","4","6","7","6","6","6","6","3","7","6","6","7","5","5","6","5","5","5","5","no",14,3,2024-09-07,"women",28
"2025-05-18 16:47:46","2","5","7","4","5","6","3","7","4","4","3","4","5","6","7","7","7","6","4","4","7","yes",16,5,2023-10-14,"man",47
"2025-05-11 12:24:58","7","6","7","6","6","7","6","7","7","7",NA,"7","7","7","6","6","7","6","7","7","7","no",11,3,2024-09-25,"women",60
"2025-05-10 16:10:08","6","6","6","7","5","6","7","6","7","2","6","7","5","6","6","7","6","7","7","7","6","yes",19,5,2023-06-02,"women",30
"2025-05-06 14:57:28","5","6","6","3","3","5","4","5","4","5","6","4","4","3","4","6","6","7","2","6","3","no",16,4,2023-06-11,"women",32
"2025-05-13 16:55:56","7","4","5","4","4","6","7","6","5","6","7","5","7","6","5","6","3","6","2","6","5","yes",12,4,2024-01-23,"man",56
"2025-05-17 17:36:06","7","7","7","7","7","6","7","6","7","6","7","7","6","7","6","6","6","6","7","7","7","yes",19,6,2024-05-01,"women",52
"2025-05-14 08:02:43","5","5","5","4","3","7","4","5","5","6","6","6","4","6","3","4","6","6","6","5","4","yes",15,5,2024-12-11,"man",40
"2025-05-07 12:11:21","5","6","3","5","5","6","5","5","5","7","6","4","5","5","5","4","5","4","5","5","5",NA,21,5,2023-09-24,"man",35
"2025-05-06 12:23:27","4","4","2","2","5","3","5","7","7","5","6","7","4","6","4","4","5","6","5","6","6","yes",10,2,2024-04-13,"women",35
"2025-05-17 14:56:23","7","7","7","6","6","7","7","7","3","6","5","6","7","4","7","7","7","7","7","7","6","yes",21,4,2023-09-03,"women",35
"2025-05-07 11:32:33","6","7","4","6","6","6","4","3","4","5","5","7","7","5","6","3","3","3","2","1","3","yes",26,8,2024-06-16,"women",51
"2025-05-16 09:57:32","6","5","5","6","3","6","2","3","4","5","5","7","6","6","6","2","5","4","4","3","5","yes",20,4,2024-11-30,"women",37
"2025-05-14 17:23:42","4","5","5","4","6","5","5","6","4","5","6","5","6","5","6","7","7","6","7","7","5","yes",11,3,2025-02-08,"man",33
"2025-05-08 16:45:20","5","3","5","7","6","7","3","6","4","5","6","5","5","7","4","7","6","7","6","7","6","yes",10,2,2023-12-23,"man",30
"2025-05-15 11:10:13","3","3","5","3","4","2","5","4","4","5","4","6","7","6","7","6","6","6","5","5",NA,"yes",13,2,2025-03-30,"women",22
"2025-05-14 16:39:51","4","4","5","7","6","6","6","4","4","6","5","5","6","5","5","4","6","6","2","2","2","yes",10,1,2023-07-13,"man",49
"2025-05-07 16:50:16","7","7","6",NA,"7","5","7","4","5","5","7","6","7","6","6","5","6","2","7","5","6","yes",22,5,2024-04-10,"man",35
"2025-05-11 11:43:23","7","5","6","7","6","7","5","4","5","5","7","7","7","6","5","4","4","5","3","2","4","yes",26,4,2023-06-11,"man",37
"2025-05-17 09:55:27","6","5","7","5","7","6","7","7","6","6","4","6","6","5","6","5","6","6","7","6","6","yes",19,5,2024-10-30,"man",32
"2025-05-06 09:02:09","5","2","4","6","7","5","3","5","7","5","6","7","7","7","7","7","7","4","2","4","4","yes",12,2,2024-09-28,"women",28
"2025-05-18 15:30:25","5","4","7","3","3","6","5","3","7","5","4","4","4","4","6","6","6","7","6","5","5","yes",24,3,2025-01-11,"man",49
"2025-05-11 17:33:05","5","4","4","7","7","7","6","6","7","6","7","6","6","7","5","6","7","5","6","7","7","no",20,5,2023-11-25,"women",28
"2025-05-13 12:52:51","4","6","3","5","5","6","3","4","6","5","2","5","6","4","6","6","7","6","6","4","5","yes",15,4,2024-11-09,"man",47
"2025-05-06 16:10:34","5","6","6","6","7","6","4","5","4","6","4","5","5","4","6","4","6","6","6","6","6","yes",24,6,2023-09-13,"man",32
"2025-05-08 08:13:39","6","5","4","4","6","5","5","1","4","7","4","4","6","5","5","6","5","5","3","6","3","yes",10,1,2024-10-06,"women",38
"2025-05-16 12:03:07","5","5","4","5","7","6","2","5","6","6","3","2","4","3","4","5","3","5","7","3","5","yes",17,5,2024-03-28,"women",47
"2025-05-17 09:55:42",NA,"6","4","4","1","6","6","5","7","6","5","1","4","5","7","6","6","5","6","6","6","yes",19,4,2024-05-16,"man",42
"2025-05-12 17:14:58","5","4","5","6","5","4","6","3","6","2","4","6","6","6","7","7","6","6","5","5","3","no",11,4,2024-07-22,"man",41
"2025-05-09 16:50:09","5","5","3","7","6","7","6","5","5","7","5","5","5","6","7","6","7","7","4","6","4","yes",13,2,2024-12-12,"women",29
"2025-05-15 08:13:27","6","7","7","5","7","7","7","7","7","6","7","5","2","7","7","7","7","7","7","6","6","yes",21,5,2023-06-02,"women",29
"2025-05-10 11:43:34","7","6","7","6","4","7","4","4","4","7",NA,"7","7","7","3","6","5","4","4","7","5","yes",29,7,2023-10-10,"women",18
"2025-05-06 13:51:33","3","2","4","5","5","6","4","3","5","4","4","6","4","3","4","5","6","7","1","5","3","yes",11,5,2024-03-11,"women",34
"2025-05-17 09:36:54","7","5","6","5","6","4","7","6","7","5","6","7","6","7","6","5","7","2","7","5","4","no",16,4,2024-04-10,"women",37
"2025-05-11 08:18:21","5","5","7","7","7","7","5","7","7","2","5","6","7","7","6","5","6","7","6","6","7","no",16,3,2023-12-05,"women",53
"2025-05-16 14:00:09","7","6","7","7","7","7","7","6","7","5","6","7","6","7","6","6","5","6","7","7","6","yes",16,2,2025-02-27,"women",37
"2025-05-13 11:14:47","7","6","7","7","7","7","7","5","6","4","7","7","5","5","7","7","6","7","5","6","5","yes",20,5,2023-05-25,"man",41
"2025-05-12 10:36:31","7","6","6","7","7","6","6","7","4","4","7","7","7","7","6","4","6","7","3","3","5","yes",19,3,2023-06-28,"man",33
"2025-05-12 13:23:54","7","5","7","7","7","7","7","7","7","7","7","7","7","7","6","7","7","6","7","7","7","yes",14,4,2023-10-14,"women",44
"2025-05-13 16:43:50","7","6","6","6","6","6","7","5","6","6","3","4","5","7","3","6","4","4","2","5","5","yes",20,4,2023-09-27,"man",20
"2025-05-11 15:01:21","5","5","6","4","6","6","4","3","4","6","5","6","4","4","7","7","6","5","4","6","6","yes",19,5,2023-07-10,"man",34
"2025-05-07 08:08:58","6","3","4","5","6","5","5","4","4","6","5","6","7","6","5","5","2","5","6","4","6","no",15,3,2024-08-07,"women",40
"2025-05-15 10:38:51","7","6","5","4","5","4","5","7","3","2","5","5","5","3","5","6","3","4","6","5","5","no",14,3,2023-06-19,"women",49
"2025-05-09 09:34:49","7","6","5","6","6","5","7",NA,"5","5","7","7","5","7","7","7","7","6","6","7","7","yes",25,6,2024-10-08,"women",40
"2025-05-12 15:39:30","6","7","7","5","5","6","4","6","6","7","4","4","6","4","5","5","4","3","6","4","3","no",20,3,2024-01-30,"man",25
"2025-05-16 15:16:08","6","6","5","5","5","7","6","6","6","6","6","6","5","6","7","7","7","7","6","5",NA,"no",13,4,2024-12-16,"women",44
"2025-05-12 08:29:53","6","6","6","4","6","6","7","6","6","4","6",NA,"5","6","6","6","6","6","7","5",NA,"no",16,5,2024-03-24,NA,52
"2025-05-13 10:12:35","4","6","6","4","7","6","6","4","5","4","6","7","5","6","4","3","6","5","4","3","3","yes",19,4,2023-07-11,"man",50
"2025-05-10 10:26:54","5","6","6","7","6","6","7","6","6","4","5","6","5","5","6","4","4","6","6","4","4","yes",18,4,2024-05-09,"man",47
"2025-05-18 14:29:16","6","5","6","6","4","4","5","6","4","7","6","5","5","4","6","6","7","5","6","5","5","yes",14,3,2023-05-06,"man",37
"2025-05-07 08:34:46","6","6","6","6","7","7","6","7","7","7","7","5","7","6","5","7","6","7","7","7","7","yes",25,7,2023-12-13,"man",64
"2025-05-09 11:00:57","6","7","7","3","2","5","7","6","4","6","6","6","7","7","4","4","4","6","4","5","3","yes",20,5,2024-01-05,"women",48
"2025-05-06 12:03:51","7","7","5","7","7","6","6","6","5","7","7","5","7","7","7","7","7","7","7","7","5","yes",15,4,2023-05-06,"women",40
"2025-05-11 14:34:56","7","6","6","5","6","5","5","6","4","5","6","4","6","6","6","6","7","7","5","3",NA,"no",23,6,2023-09-29,"women",49
"2025-05-11 16:41:38","7","7","7","5","7","7","5","7","7","7",NA,"7","6","7","7","6","7","7","7","7","7","yes",19,3,2024-11-09,"women",49
"2025-05-13 13:50:54","7","5","7","5","5","4","2","5","5","3","3","3","3","3","4","5","3","6","4","5","4","no",21,4,2024-03-04,"women",27
"2025-05-08 15:22:05","5","4","2","2","6","3","2","7","5","5","4","5","5","4","5","6","5","7","7","6","7","no",12,4,2024-05-03,"women",38
"2025-05-06 17:43:41","5","6","4","6","6","7","4","6","6","6","6","5","5","5","4","6","4","5","3","3","3","yes",24,4,2023-08-23,"women",53
"2025-05-14 17:35:52","6","7","6","6","7","7","5","6","3","7","4","5","5","4","4","6","5","5","7","7","6","yes",23,6,2024-11-27,"women",42
"2025-05-18 15:54:21","2","7","5","5","5","5","6","5","4","4","5","4","7","7","5","6","4","6","3","5","4","yes",17,4,2023-12-11,"man",24
"2025-05-09 14:57:46","7","6","7","5","6","6","7","7","6","5","6","6","5","4","5","5","5","7","5","6","4","yes",17,3,2024-12-27,"women",34
"2025-05-14 14:29:32","2","3","2","6","6","6","6","2","5","4","5","6","6","4","5","3","4","4","4","4","3","no",8,2,2023-11-03,"women",40
"2025-05-10 15:31:43","7","7","6","5","7","7","6","5","5","6","4","7","7","7","5","6","5","5","6","6","5","yes",26,8,2024-02-21,"women",36
"2025-05-08 10:52:09","3","4","6","4","6","4","5","4","4","5","6","5","5","6","6","6","6","6","3","2","2","yes",9,2,2025-03-19,NA,68
"2025-05-06 10:33:34","5","6","3","5","4","4","6","4","6","5","3","3","2","1","5","5","5","4","4","5","4","yes",18,5,2024-02-05,NA,43
"2025-05-15 08:36:17","4","4","4","5","6","5","3","5","4","7","3","4","4","5","5","5","4","6","7","7","6","yes",14,4,2023-12-06,"women",26
"2025-05-06 09:35:06","7","3","4","7","6","7","5","4","4","7","4","2","4","6","4","6","5","4","6","5","5","yes",13,3,2024-09-21,"women",33
"2025-05-15 13:47:55","5","3","5","6","3","5","6","7","5","2","6","4","5","6","6","6","5","5","4","6","6","yes",20,4,2023-12-30,"man",51
"2025-05-16 14:24:48","2","6","6","7","5","6","6","4","3","3","4","5","6","5","4","6","4","6","4","6","4","yes",7,1,2023-12-29,"Non-binary/other",48
"2025-05-05 09:16:40","6","7","5","6","6","5","6","2","4","6","6","7","6","6","6","5","6","6","6","6","7","yes",22,5,2024-07-30,"women",33
"2025-05-12 17:18:51","5","3","6","5","5","4","3","3","4","6","4","4","1","3","5","4","5",NA,"5","4","7","no",15,3,2024-09-17,"women",41
"2025-05-18 15:54:06","7","7","7","6","7","3","6","6","7","6","5","6","5","6","6","6","7","7","6","6","7","yes",28,7,2025-02-27,"women",35
"2025-05-15 16:49:00","6","6","6","5","3","3","7","6","6","5","7","7","6","6","7","6","7","7","7","6","6","yes",15,3,2023-08-01,"women",30
"2025-05-08 11:32:11","5","3","3","4","6","4","4","4","4","5","3","3","5","6","5","3","6","7","2","4","5","yes",22,6,2023-07-14,"man",34
"2025-05-12 08:13:54","5","7","7","6","6","6","7","7","6",NA,"6","6","4","6","7","5","6","6","7","7",NA,"yes",24,4,2024-10-20,"women",22
"2025-05-09 12:51:03","3",NA,"4","5","4","4","6","7","5","6","6","5","6","6","6","4","4","6","6","7","6","yes",9,2,2025-02-27,"women",47
"2025-05-17 16:45:08","3","4","4","7","7","5","6","7","3","6","5","6","7","6","6","7","6","6","5","6","6","no",12,3,2024-01-05,"women",46
"2025-05-09 10:05:16","6","6","7","7","6","6","6","5","5","6","5","5","6","5","3","4","4","3","3","5","5","yes",21,4,2023-07-15,"man",29
"2025-05-10 13:52:39","6","5","7","3","5","3","6","5","6","7","5","5","6","6","7","7","7","6","7","6","6","yes",16,3,2024-02-19,"women",25
"2025-05-05 08:20:26","5","3","5","3","5","4","6","7","4","4","7","6","5","6","6","7","7","3","4","7","4","yes",17,4,2023-05-07,"man",30
"2025-05-18 14:06:15","4","3","5","4","6","5","5","6","6","4","5","2","4","3","4","5","6","7","3","4","5","yes",17,4,2024-06-07,"women",32
"2025-05-17 17:23:07","6","4","6","7","7","7","6","7","7","6","7","7","7","7","7","7","7","7","5","5","6","yes",18,2,2024-07-06,"man",45
"2025-05-15 15:13:51","6","6","5","5","4","5","4","5","5","2","5","5","6","5",NA,"4","6","4","2","3","6","yes",16,6,2023-05-23,"women",42
"2025-05-07 09:17:26","5","4","5","6","5","6","4","6","5","6","4","6","5","6","7","6","5","5","5","6","5","yes",12,4,2023-12-29,"women",32
"2025-05-10 16:02:57","7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","7","6","7","7","7","7","no",15,3,2025-03-01,"man",58
"2025-05-17 14:00:22","7","7","7","7","6","7","7","7","7","6","7","6","6","7","4","4","6","6","7","7","7","yes",27,7,2023-06-15,"women",40
"2025-05-08 14:37:37","4","5","3","7","6","5","6","5","3","6","6","6","6","7","6","6","3","4","7","7","5","yes",14,3,2024-06-19,"women",42
"2025-05-12 17:37:47","7","5","7","7","7","7","5","7","6","6","7","4","6","7","5","6","6","5","6","7","6","yes",27,5,2025-04-24,"women",32
"2025-05-14 17:03:02","7","7","7","5","7","4","7","6","7","7","6","6","7","7","7","6","7","6","7","6","7","no",17,3,2024-04-19,"women",36
"2025-05-17 17:39:48","6","6","6","7","6","4","6","7","6","7","7","7","7","7","7","5","7","7","6","7","7","yes",16,3,2024-02-28,NA,41
"2025-05-14 10:59:44","7","6","7","7","6","7","6","7","6","6","7","7","7","6","5","7","6","7","7","6","7","no",15,2,2023-05-25,"women",48
"2025-05-17 09:23:37","5","4","6","2","2","2","6","3","5","4","2","3","1","2","7","6","4","5","2","3","3","no",8,4,2024-11-17,"man",35
"2025-05-18 14:26:44","6","7","6","5","6","6","7","7","7","6","5","7","5","5","6","3","2","6","7","7","5","no",20,5,2023-12-06,"women",44
"2025-05-14 10:31:34","3","4","5","5","4","3","4","1","2","7","6","7","6","7","2","4","3","5","3","4","5","unsure",13,4,2023-05-08,"man",35
"2025-05-10 11:46:10","6","5","7","6","6","6","6","4","7","6","6","6","5","7","5","6","6","4","7","7","6","unsure",11,4,2023-09-02,"women",34
"2025-05-15 12:23:03","4","6","4","6","7","6","5","7","7","7","3","7","5","6","7","4","5","7","6","6","5","no",16,6,2024-12-04,"man",55
"2025-05-16 13:30:55","7","7","7","7","7","7","7","6","7","7","7","7","7","7","7","7","7","7","6","7","7","no",27,8,2024-07-22,"women",50
"2025-05-18 10:12:39","3","2","4","2","4","6","4","4","3","4","6","7","6","7","2","5","7","6","6","6","5","no",8,3,2023-12-07,"women",45
"2025-05-05 15:06:00","7","7","6","5","5","3","6","7","5","6","6","6","5","5","4","2","5","3","4","5","5","yes",27,7,2023-12-03,"man",32
