"po01","po02","po03","si01","si02","si03","it01","it02","it03","ie01","ac01","ac02","ac03","ac04","ai01","ai02","ai03","ai04","iv01","iv02","iv03","bd01","bd02","bd03","bd04","de01","de02"
"4","3","7","6","4","6","4","7","6","5","4","3","2","7","5","4","4","4","4","4","3","yes",21,7,2023-02-17,"man",33
"5","6","5","3","5","4","5","6","7","4","7","4","6","7","7","7","6","6","5","4","3","yes",19,3,2023-11-10,"women",25
"6","4","6","7","7","7","7","6","5","4","5","5","4","5","7","7","7","7","6","7","7","yes",18,5,2022-08-17,"women",37
"7","5","4","7","7","7","6","6","6","5","7","7","5","6","4","4","4","4","7","6","6","yes",21,6,2023-03-29,"women",38
"7","6","6","4","5","4","7","5","7","5","3","4","4","2","4","5","5","7","4","3","4","no",21,3,2023-05-28,"women",42
"6","7","7","5","3","3","5","6","6","6","5","6","5","6","5","7","7","7","7","2","6","yes",26,3,2023-05-06,"women",34
"5","6","7","5","3","7","4","6","4","3","4","4","6","2","7","6","7","5","4","6","4","yes",18,4,2022-10-06,"women",38
"5","7","6","7","6","5","7","7","7","6","7","6","5","7","7","7","6","7","7","6","7","yes",15,4,2023-04-17,"man",38
"7","7","7","7","7","7","4","3","4","7","6","7","7","6","6","5","7","6","7","4","5","no",19,4,2022-07-29,"women",45
"7","5","7","6","7","7","7","6","7","6","7","7","4","3","7","6","7","7","7","5","6","yes",15,3,2022-04-04,"women",22
"6","7","5","4","5","5","7","6","5","5","4","4","5","6","6","6","6","3","5","6","5","yes",22,4,2022-12-15,"women",26
"6","5","6","6","6","6","5","2","6","3","6","5","4","3","5","7","6","5","3","4","3","no",13,4,2023-08-13,"women",36
"5","4","6","7","7","7","7","5","6","7","5","3","4","4","6","7","6","6","6","5","4","yes",12,3,2022-07-29,"man",43
"6","7","3","6","5","4","6","7","7","7","6","6","7","7","5","6","5","6","4","5","4","yes",21,5,2023-06-16,"women",43
"7","7","7","7","7","7","7","6","6","5","7","6","6","6","6","4","7","7","7","7","7","no",28,7,2022-02-24,"women",23
"6","6","7","5","5","3","5","7","7","3","6","4","7","5","5","5","5","6","7","6","7","yes",23,6,2022-05-24,"man",31
"3","4","3","4","4","5","6","4","7","4","5","6","6","7","5","4","6","5","2","3","4","yes",9,1,2023-09-22,"women",31
"5","6","6","4","2","4","4","6","7","7","7","7","7","5","6","6","6","7","5","2","3","yes",19,3,2022-07-11,"women",42
"5","5","3","6","5","5","6","6","4","6","7","5","6","6","3","5","5","5","4","4","4","no",19,3,2023-10-29,"man",50
"6","7","5","7","7","6","7","7","7","7","5","6","6","6","4","5","6","5","6","7","7","yes",21,7,2023-07-20,"women",44
"5","3","5","7","6","6","6","6","7","7","7","7","7","6","1","5","5","5","6","7","7","yes",16,3,2022-02-19,"women",42
"5","5","5","5","3","4","4","6","4","7","6","6","6","7","6","6","5","6","2","4","3","yes",10,1,2023-08-04,"women",39
"6","7","6","5","6","5","5","5","4","4","2","7","5","6","5","7","6","6","5","2","2","no",18,2,2023-11-19,"man",57
"7","7","6","4","7","7","5","5","7","5","7","7","7","7","6","6","6","6","7","5","7","yes",26,7,2023-04-22,"man",50
"6","6","6","6","5","5","6","7","7","6","7","7","6","3","4","6","3","7","7","7","7","yes",16,3,2023-11-09,"women",19
"3","6","3","4","4","3","5","5","3","6","4","4","6","4","4","5","5","6","4","5","5","yes",6,2,2023-09-18,"women",33
"6","6","7","6","6","7","5","5","7","7","7","7","7","7","3","5","4","7","4","6","6","yes",16,2,2022-01-12,"women",32
"7","6","7","7","7","6","6","7","5","7","7","7","7","7","7","6","7","6","7","6","6","no",26,6,2022-05-26,"women",19
"6","5","7","2","6","7","5","5","6","6","6","6","4","5","6","7","3","6","5","6","7","yes",22,4,2022-03-17,"women",22
"6","3","3","6","5","6","5","2","5","5","4","4","3","5","5","3","5","4","3","4","2","yes",9,2,2022-11-06,"women",49
"6","4","3","6","3","3","5","6","6","4","6","6","6","4","7","7","7","5","7","5","7","yes",10,2,2022-04-01,"women",33
"7","7","6","7","6","6","7","5","6","7","7","6","4","5","6","6","5","6","5","4","4","yes",26,7,2022-03-12,"man",44
"6","6","5","4","6","6","3","4","3","2","5","6","5","4","4","5","4","6","5","3","3","yes",21,6,2023-10-16,"women",37
"7","4","6","3","7","5","5","4","6","5","6","6","7","6","5","4","4","3","4","5","5","unsure",19,4,2023-03-09,"women",38
"5","5","6","5","6","7","6","2","3","7","7","5","6","4","5","5","4","5","3","3","3","yes",14,2,2022-02-07,"man",24
"7","7","7","6","6","6","7","7","7","3","6","4","6","6","5","5","7","5","7","7","7","yes",25,4,2022-12-06,"man",46
"3","6","4","7","5","4","4","5","7","7","6","6","6","7","6","5","5","6","5","6","3","yes",27,5,2023-02-20,"women",51
"7","7","7","3","3","4","6","6","4","4","6","5","7","7","3","5","3","2","7","7","6","no",23,5,2022-12-13,"man",32
"4","4","4","5","6","4","5","6","5","4","5","6","6","6","2","4","3","6","4","6","6","yes",17,5,2022-05-30,"women",28
"7","7","7","7","7","7","7","7","7","7","6","7","6","7","7","7","7","7","7","7","6","yes",21,4,2022-07-02,"man",22
"6","6","6","5","5","5","5","1","4","6","4","2","4","3","7","4","2","3","4","5","3","yes",17,4,2022-03-27,"women",40
"7","7","7","6","3","6","7","7","5","6","7","7","6","7","6","7","5","7","7","7","6","yes",22,6,2022-04-08,"women",38
"6","5","5","6","6","7","5","4","4","6","4","4","3","6","4","7","5","5","5","5","2","yes",12,3,2022-10-27,"man",39
"5","6","6","2","5","4","4","5","4","5","6","2","2","5","4","2","5","2","4","6","6","no",17,5,2022-12-10,"man",39
"7","6","7","7","7","6","5","7","7","5","7","6","6","7","6","5","7","2","7","7","7","no",28,5,2023-08-09,"women",36
"6","6","4","6","2","5","6","7","5","6","7","6","6","6","7","6","6","4","6","6","7","yes",21,3,2023-07-15,"women",24
"6","7","5","6","6","4","6","5","3","7","5","6","7","6","6","6","6","5","4","7","7","yes",17,6,2022-09-13,"women",54
"7","5","5","6","5","6","6","7","6","7","6","7","7","7","4","6","7","6","7","6","6","yes",13,6,2023-09-08,"man",48
"4","6","7","6","5","6","7","6","7","5","7","5","7","5","4","5","6","5","5","6","7","yes",21,4,2022-12-25,"women",48
"6","6","7","5","5","7","5","4","7","5","4","5","4","5","7","7","7","6","6","6","7","yes",25,5,2023-01-01,"women",59
"7","7","5","6","6","5","6","6","7","7","7","7","7","7","7","7","6","7","5","6","5","yes",11,3,2022-05-15,"man",35
"1","4","1","5","5","3","5","2","2","3","7","6","5","6","7","6","5","7","6","7","7","yes",6,3,2023-03-18,"women",58
"5","6","4","6","5","5","5","4","3","6","4","4","5","7","7","6","5","6","3","3","4","yes",17,3,2022-12-06,"man",30
"6","5","4","7","4","5","5","3","5","2","3","5","6","2","3","5","5","5","7","6","6","yes",10,1,2023-03-17,"man",44
"6","4","5","5","5","6","4","4","3","6","4","2","4","5","5","4","3","4","2","4","3","yes",22,4,2023-09-29,"women",52
"6","4","3","7","6","7","5","4","3","7","7","6","7","7","4","7","5","6","5","7","7","yes",21,6,2023-09-12,"man",49
"7","6","7","4","4","5","6","5","5","5","6","4","4","5","6","6","6","5","6","6","6","yes",26,6,2023-02-23,"women",31
"3","3","3","5","6","6","3","7","6","3","4","6","6","6","7","7","6","6","7","6","3","no",12,3,2022-09-22,"man",28
"7","4","4","5","6","5","7","5","4","7","5","4","4","5","6","4","4","3","6","6","7","yes",9,2,2023-11-05,"man",46
"5","7","6","6","5","5","7","6","6","6","2","7","6","6","6","4","7","5","7","6","6","no",22,4,2023-12-16,"women",22
"4","3","5","4","6","3","7","5","6","4","6","5","7","6","2","5","6","6","6","5","5","yes",9,3,2023-12-25,"women",41
"6","7","4","5","5","5","4","5","5","7","4","5","6","6","6","6","6","7","5","6","4","no",20,3,2022-01-31,"man",44
"5","4","5","6","7","5","7","7","7","6","6","7","6","7","7","6","6","4","3","6","5","yes",14,1,2022-09-28,"women",29
"4","5","4","6","5","5","7","6","6","7","6","5","6","4","5","5","6","7","7","7","7","yes",22,3,2022-08-01,"women",45
"4","6","5","6","6","6","2","5","1","5","6","4","3","5","7","6","6","6","7","7","7","yes",21,3,2022-01-11,"women",27
"7","6","7","7","7","7","6","6","7","5","7","7","7","7","6","4","4","6","6","7","7","yes",24,5,2022-09-01,"man",46
"5","4","4","5","3","4","3","4","5","6","6","6","6","7","6","4","5","4","6","5","3","yes",7,3,2022-11-03,"women",29
"5","7","4","2","3","4","6","4","5","4","3","4","6","3","5","6","6","3","7","7","7","yes",22,5,2022-03-26,"women",56
"7","7","7","7","5","7","6","7","6","5","7","7","7","6","6","7","7","7","6","7","7","yes",22,5,2023-04-26,"man",44
"6","4","5","6","6","6","7","7","7","7","4","5","5","5","7","6","7","7","4","5","7","yes",17,5,2022-07-28,"man",33
"7","7","7","6","4","3","6","6","7","7","6","6","7","6","7","7","5","7","4","5","5","yes",25,5,2022-11-24,"women",46
"7","6","7","7","7","7","7","7","7","7","7","7","7","6","7","6","7","5","6","7","7","yes",27,6,2023-02-26,"man",30
"5","3","6","5","6","5","7","6","5","7","2","7","4","4","6","6","4","7","2","3","2","no",25,4,2022-12-25,"women",39
"7","6","7","7","7","7","7","7","7","7","6","7","7","6","7","7","5","7","7","7","7","yes",24,4,2022-10-08,"women",35
"6","7","5","5","6","7","6","7","7","7","5","5","3","5","5","5","6","4","6","7","5","no",25,6,2022-08-02,"women",49
"7","5","6","7","7","7","5","6","5","5","4","5","5","7","6","7","6","6","5","6","6","yes",15,4,2023-03-31,"women",43
"6","6","7","4","6","6","6","7","7","5","6","7","6","5","6","6","7","6","6","6","4","yes",22,5,2022-02-23,"women",40
"6","6","6","6","6","5","7","6","6","2","6","5","7","5","3","5","5","3","6","4","5","yes",23,4,2022-07-17,"man",46
"5","7","7","4","6","6","7","7","7","7","7","7","7","6","6","7","6","5","7","6","7","yes",15,2,2023-03-14,"women",51
"4","6","5","5","5","7","6","5","4","4","3","6","4","4","5","4","6","5","7","5","4","yes",8,3,2023-01-11,"women",35
"7","5","4","4","7","5","4","7","5","7","4","3","4","5","6","4","3","6","5","4","4","yes",15,4,2022-10-03,"man",27
"5","4","3","2","3","6","6","6","5","6","4","6","5","5","5","3","4","6","6","4","5","yes",7,2,2022-12-17,"women",24
"4","4","5","6","6","5","6","6","5","7","5","4","5","5","3","5","3","6","5","4","4","yes",7,2,2022-11-06,"women",56
"6","5","4","4","5","6","2","6","5","3","6","5","6","7","7","6","7","7","7","6","7","yes",22,6,2022-03-24,"women",41
"6","7","7","6","6","7","5","6","6","6","7","4","5","6","6","5","7","7","5","6","7","yes",22,4,2022-10-30,"man",49
"5","6","6","6","4","6","7","7","3","6","5","4","5","6","5","6","6","5","7","7","7","yes",13,2,2022-09-27,"women",44
"7","6","7","7","5","7","4","5","3","5","5","5","6","5","7","7","6","5","3","5","4","yes",22,6,2022-04-03,"women",20
"7","7","7","7","7","7","7","6","7","4","7","6","6","6","6","6","6","5","7","7","7","yes",20,5,2022-12-16,"man",47
"6","3","3","4","4","5","6","6","6","6","5","7","6","5","7","7","6","6","4","5","3","no",8,1,2023-10-09,"women",37
"6","5","7","6","6","6","5","5","4","5","4","6","5","6","7","7","6","6","7","7","6","no",22,6,2023-04-28,"women",38
"4","6","5","7","5","4","6","4","4","7","4","4","6","4","2","5","4","4","5","6","5","yes",20,5,2023-07-07,"man",43
"7","7","6","7","6","6","7","6","6","7","4","7","7","6","7","6","6","7","7","7","7","no",19,4,2023-04-04,"women",47
"6","7","4","5","4","3","2","3","5","5","5","6","5","5","4","7","6","7","6","5","3","unsure",8,3,2023-11-05,"man",43
"3","6","4","7","6","6","6","6","7","5","6","4","6","6","3","5","7","4","2","5","6","yes",12,3,2022-08-09,"man",48
"6","5","5","7","7","6","6","4","4","5","5","4","6","6","7","7","6","6","6","6","6","yes",24,3,2023-04-11,"man",54
"6","4","4","4","6","6","6","6","7","6","4","3","4","6","5","5","5","6","7","6","6","yes",18,2,2022-12-29,"women",42
"6","7","6","5","4","6","7","5","7","4","3","5","6","5","6","7","6","7","6","6","5","yes",18,5,2022-07-16,"women",44
"6","5","4","5","3","6","3","6","6","5","7","6","5","5","4","6","5","5","4","5","6","yes",22,4,2022-06-30,"man",36
"7","7","6","7","7","7","7","5","6","7","7","7","7","7","7","7","7","7","7","5","6","yes",20,3,2023-06-29,"women",56
"4","3","4","3","5","3","7","3","6","7","4","4","7","6","6","4","6","6","7","6","6","yes",8,2,2022-02-20,"man",47
"6","7","4","7","5","7","4","4","5","4","4","5","5","4","5","3","5","6","6","6","6","yes",13,1,2022-12-25,"women",40
"5","6","6","5","4","3","6","6","6","6","6","6","5","7","5","7","5","7","5","5","5","yes",13,3,2022-10-24,"women",49
"5","7","3","6","6","6","7","7","5","7","2","5","7","3","5","6","5","6","6","5","6","yes",18,3,2023-01-11,"women",31
"7","5","7","6","6","7","5","6","4","5","7","6","7","7","6","7","6","4","6","6","6","no",21,5,2023-05-02,"women",50
"5","3","3","5","4","4","1","2","3","2","3","6","6","4","7","6","7","7","7","6","6","yes",8,1,2023-02-28,"women",31
"4","5","3","6","7","7","4","5","3","4","6","6","6","5","7","6","7","7","2","5","5","yes",14,3,2022-04-28,"man",53
"5","2","5","7","7","7","7","6","6","5","4","2","6","3","5","7","5","4","7","7","5","no",14,3,2023-10-04,"man",51
"6","5","6","4","4","4","5","4","4","3","5","5","4","2","2","1","2","1","7","6","6","yes",18,4,2022-01-09,"man",34
"4","5","3","5","3","4","6","4","4","6","6","6","5","6","5","3","2","3","5","5","6","yes",16,6,2022-11-19,"women",28
"4","5","6","5","4","4","6","3","3","7","5","3","3","4","3","7","3","4","3","4","5","yes",16,4,2023-11-27,"women",41
"6","4","6","5","5","4","7","6","5","6","4","3","5","2","7","7","6","6","5","3","3","no",16,4,2022-01-28,"women",23
"3","3","1","7","5","6","5","3","5","2","5","6","5","6","4","5","3","5","5","6","7","yes",10,2,2023-01-31,"man",35
"6","7","7","3","4","5","7","2","4","6","4","4","4","5","4","6","6","5","4","4","4","yes",18,5,2023-05-16,"women",41
"6","5","5","7","4","5","5","2","7","5","5","2","3","4","2","4","3","5","3","4","4","yes",12,2,2023-03-18,"women",44
"5","6","6","5","6","4","6","3","5","7","6","7","6","5","3","3","4","5","3","5","5","yes",18,4,2023-06-23,"Non-binary/other",42
"7","5","4","7","7","7","5","5","7","7","7","6","5","4","7","7","7","6","7","6","6","yes",13,3,2023-07-12,"man",38
"4","7","6","6","4","4","2","5","4","7","7","7","5","6","5","5","6","4","6","4","5","yes",24,5,2022-06-07,"man",49
"6","7","6","7","7","7","7","7","6","5","7","6","7","6","3","6","4","5","6","7","6","yes",27,6,2023-05-04,"women",33
"5","7","7","7","6","7","6","4","3","5","4","7","7","5","5","5","2","7","5","5","7","yes",19,3,2022-05-25,"man",55
"6","3","3","6","7","5","6","5","6","7","7","5","6","5","3","3","2","6","7","7","5","yes",6,1,2022-06-15,"women",44
"6","6","7","7","5","7","6","7","5","6","7","7","6","6","5","5","4","5","7","7","5","yes",24,4,2023-12-05,"women",45
"3","5","6","6","5","4","6","5","5","6","7","6","4","4","4","6","4","2","4","4","3","no",14,4,2023-09-08,"man",28
"6","5","6","6","5","3","4","4","3","6","7","7","6","7","7","6","5","6","6","4","3","yes",18,2,2022-05-21,"man",39
"6","5","7","7","7","7","7","6","6","6","6","7","7","7","5","6","6","6","5","5","5","yes",21,4,2022-10-22,"man",33
"3","6","6","3","4","5","5","4","2","6","5","4","6","5","5","4","7","6","5","5","5","yes",24,6,2023-12-29,"women",32
"5","6","6","4","6","4","6","6","6","6","3","5","5","5","6","5","6","4","2","3","5","no",14,3,2022-04-25,"man",42
"3","3","3","4","5","6","7","6","6","6","4","4","5","3","5","4","4","4","4","5","7","yes",12,4,2022-08-20,"man",49
"3","2","4","5","4","4","5","6","6","5","2","5","6","4","3","6","6","4","5","3","5","no",15,3,2023-09-29,"women",18
"3","4","2","4","5","4","5","3","5","3","6","6","6","5","4","5","4","2","5","2","3","yes",7,1,2022-09-01,"man",48
"5","6","5","5","3","5","7","5","6","6","4","3","4","4","6","6","6","6","2","5","4","yes",20,4,2023-08-05,"women",43
"7","6","7","6","6","7","7","7","7","5","5","5","4","5","6","6","5","7","7","7","7","yes",19,6,2022-12-27,"man",47
"7","6","7","5","5","6","4","5","3","6","5","6","6","5","3","3","5","4","3","3","3","yes",20,6,2022-05-22,"man",53
"6","5","7","6","7","6","7","7","7","5","6","5","7","7","7","5","7","5","7","6","7","yes",15,3,2022-03-29,"women",45
"4","3","3","3","3","4","5","5","3","4","5","5","6","4","5","6","2","5","1","3","6","yes",18,4,2023-04-15,"women",41
"3","3","4","4","4","7","5","4","2","5","5","4","7","5","6","5","4","5","2","6","5","yes",12,4,2022-02-17,"women",31
"3","3","4","4","6","4","4","4","3","3","6","6","5","6","7","6","7","5","4","2","3","yes",11,4,2023-02-20,"women",31
"7","6","7","6","7","6","2","6","6","4","6","5","6","5","7","5","7","7","7","5","6","yes",15,3,2022-10-28,"women",34
"4","5","4","4","5","4","6","5","7","5","6","6","3","6","7","6","6","6","6","5","3","no",16,6,2023-07-01,"women",22
"6","4","6","4","6","3","4","4","3","6","6","5","5","5","4","4","5","7","7","5","7","no",17,4,2022-04-13,"man",32
"5","4","5","7","7","7","7","6","7","7","6","7","7","6","7","6","6","6","5","7","7","yes",16,5,2022-05-13,"women",27
"7","7","7","5","5","6","5","5","3","6","7","6","4","6","5","7","6","4","7","7","7","yes",18,4,2022-09-17,"women",32
"4","6","6","5","3","7","7","4","6","7","5","4","4","4","4","2","5","6","6","5","5","no",23,6,2023-08-15,"women",50
"5","6","6","6","6","4","7","5","7","3","5","3","6","5","6","7","7","7","6","6","6","yes",20,4,2022-12-14,"man",53
"4","3","4","6","7","5","7","7","6","5","6","7","5","7","5","4","5","4","7","3","5","no",10,3,2022-06-09,"man",34
"5","5","6","7","7","6","5","7","7","7","6","7","6","4","5","6","5","4","7","7","7","yes",12,1,2023-12-28,"man",53
"6","6","5","4","6","5","5","5","5","4","4","5","7","5","5","7","7","6","6","6","6","yes",22,7,2022-07-27,"women",18
"6","7","4","3","3","5","3","4","3","4","4","1","5","5","4","6","5","5","5","5","5","no",16,3,2022-01-12,"man",47
"6","6","5","5","5","4","7","6","6","6","3","5","5","6","5","6","6","6","7","4","6","yes",17,4,2022-12-13,"women",21
"6","7","7","7","7","7","6","7","6","5","6","7","7","7","7","6","6","7","6","6","7","yes",24,5,2022-05-10,"women",30
"5","7","6","4","4","6","6","4","6","7","7","6","7","6","5","6","6","5","3","4","3","yes",23,7,2022-02-25,"man",56
"7","7","7","4","5","6","4","7","7","4","3","3","5","4","5","4","4","5","4","4","4","no",27,5,2022-01-25,"women",42
"6","5","4","6","6","6","5","6","7","6","6","7","5","3","4","6","5","5","7","7","7","yes",9,1,2022-10-09,"women",36
"7","7","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","no",20,3,2023-08-15,"man",25
"6","5","7","7","7","5","5","4","6","6","6","5","4","6","5","6","7","6","7","5","7","yes",24,7,2023-03-15,"women",43
